"Acct Number","Date","Description","Reference","Debit","Credit"
"10-1620-000","07-01-1999","Opening Entry       ","Sys     ",4731,0
"10-1630-000","07-01-1999","Opening Entry       ","Sys     ",78823.22,0
"10-1640-000","07-01-1999","Opening Entry       ","Sys     ",171286.65,0
"10-1800-000","07-01-1999","Opening Entry       ","Sys     ",8936.98,0
"10-2010-000","07-01-1999","Opening Entry       ","Sys     ",0,99184.2
"10-2020-000","07-01-1999","Opening Entry       ","Sys     ",0,3969.69
"10-2030-000","07-01-1999","Opening Entry       ","Sys     ",0,45048.13
"10-2040-000","07-01-1999","Opening Entry       ","Sys     ",0,3446.18
"10-2050-000","07-01-1999","Opening Entry       ","Sys     ",0,17257.5
"10-2070-000","07-01-1999","Opening Entry       ","Sys     ",0,821668
"10-2200-000","07-01-1999","Opening Entry       ","Sys     ",0,109371.89
"10-2310-000","07-01-1999","Opening Entry       ","Sys     ",0,470472.7
"10-2320-000","07-01-1999","Opening Entry       ","Sys     ",0,55877.74
"10-2330-000","07-01-1999","Opening Entry       ","Sys     ",0,235000
"10-2510-000","07-01-1999","Opening Entry       ","Sys     ",0,157276.41
"10-2520-000","07-01-1999","Opening Entry       ","Sys     ",0,5249327.33
"10-2530-000","07-01-1999","Opening Entry       ","Sys     ",0,669607.11
"10-2800-000","07-01-1999","Opening Entry       ","Sys     ",0,2462573.46
"10-1200-000","07-05-1999","FROM UTILITIES      ","UB063099",0,251.25
"10-1050-000","07-05-1999","FROM UTILITIES      ","UB063099",251.25,0
"10-1200-000","07-05-1999","FROM UTILITIES      ","UB063099",0,235.18
"10-1050-000","07-05-1999","FROM UTILITIES      ","UB063099",235.18,0
"10-1200-000","07-05-1999","FROM UTILITIES      ","UB063099",0,2646.27
"10-1020-000","07-05-1999","FROM UTILITIES      ","UB063099",2646.27,0
"10-1200-000","07-05-1999","FROM UTILITIES      ","UB063099",0,84
"10-0300-001","07-05-1999","FROM UTILITIES      ","UB063099",84,0
"10-0600-320","07-05-1999","FROM UTILITIES      ","UB063099",0,5
"10-1020-000","07-05-1999","FROM UTILITIES      ","UB063099",5,0
"10-1200-000","07-05-1999","FROM UTILITIES      ","UB063099",0,72.3
"10-1020-000","07-05-1999","FROM UTILITIES      ","UB063099",72.3,0
"10-0300-401","07-01-1999","Wages               ","~       ",1641.14,0
"10-0300-403","07-01-1999","Wages               ","~       ",329.23,0
"10-0300-420","07-01-1999","Ret Match           ","~       ",109.96,0
"10-0300-420","07-01-1999","Ret Match           ","~       ",22.06,0
"10-0300-421","07-01-1999","Soc Match           ","~       ",101.75,0
"10-0300-421","07-01-1999","Soc Match           ","~       ",20.41,0
"10-0300-421","07-01-1999","Med Match           ","~       ",23.8,0
"10-0300-421","07-01-1999","Med Match           ","~       ",4.77,0
"10-0400-401","07-01-1999","Wages               ","~       ",3095.58,0
"10-0400-403","07-01-1999","Wages               ","~       ",504.66,0
"10-0400-420","07-01-1999","Ret Match           ","~       ",207.39,0
"10-0400-420","07-01-1999","Ret Match           ","~       ",33.81,0
"10-0400-421","07-01-1999","Soc Match           ","~       ",191.92,0
"10-0400-421","07-01-1999","Soc Match           ","~       ",31.29,0
"10-0400-421","07-01-1999","Med Match           ","~       ",44.89,0
"10-0400-421","07-01-1999","Med Match           ","~       ",7.32,0
"10-0500-401","07-01-1999","Wages               ","~       ",1458.68,0
"10-0500-420","07-01-1999","Ret Match           ","~       ",83.35,0
"10-0500-421","07-01-1999","Soc Match           ","~       ",90.44,0
"10-0500-421","07-01-1999","Med Match           ","~       ",21.15,0
"10-1030-000","07-01-1999","PR Net              ","~       ",0,4130.98
"10-2100-000","07-01-1999","Withholdings        ","~       ",0,749.74
"10-2110-000","07-01-1999","Withholdings        ","~       ",0,337.15
"10-2120-000","07-01-1999","Withholdings        ","~       ",0,435.81
"10-2120-000","07-01-1999","Withholdings        ","~       ",0,101.93
"10-2120-000","07-01-1999","Soc Match Liab      ","~       ",0,435.81
"10-2120-000","07-01-1999","Med Match Liab      ","~       ",0,101.93
"10-2130-000","07-01-1999","Withholdings        ","~       ",0,408.87
"10-2130-000","07-01-1999","Ret Match Liab      ","~       ",0,456.57
"10-2140-000","07-01-1999","Deductions          ","~       ",0,16.06
"10-2140-000","07-01-1999","Deductions          ","~       ",0,117.17
"10-2140-000","07-01-1999","Deductions          ","~       ",0,8.12
"10-2150-000","07-01-1999","Deductions          ","~       ",0,550.96
"10-2170-000","07-01-1999","Deductions          ","~       ",0,172.5
"10-1030-000","07-01-1999","SC STATE TREASURER  ","6432    ",0,172.5
"10-1030-000","07-01-1999","EFTPS(FICA/FEDERAL) ","EFTPS   ",0,1936.94
"10-1030-000","07-01-1999","SC STATE EMP CR UN  ","6414    ",0,550.96
"10-2100-000","07-01-1999","EFTPS(FICA/FEDERAL) ","EFTPS   ",1137.6,0
"10-2120-000","07-01-1999","EFTPS(FICA/FEDERAL) ","EFTPS   ",799.34,0
"10-2150-000","07-01-1999","SC STATE EMP CR UN  ","6414    ",550.96,0
"10-2170-000","07-01-1999","SC STATE TREASURER  ","6432    ",172.5,0
"10-1200-000","07-02-1999","FROM UTILITIES      ","UB070299",0,1019.73
"10-1050-000","07-02-1999","FROM UTILITIES      ","UB070299",1019.73,0
"10-1200-000","07-02-1999","FROM UTILITIES      ","UB070299",0,979.97
"10-1050-000","07-02-1999","FROM UTILITIES      ","UB070299",979.97,0
"10-1200-000","07-02-1999","FROM UTILITIES      ","UB070299",0,7005.53
"10-1020-000","07-02-1999","FROM UTILITIES      ","UB070299",7005.53,0
"10-0400-320","07-02-1999","FROM UTILITIES      ","UB070299",0,1.35
"10-1050-000","07-02-1999","FROM UTILITIES      ","UB070299",1.35,0
"10-0300-320","07-02-1999","FROM UTILITIES      ","UB070299",0,2.33
"10-1020-000","07-02-1999","FROM UTILITIES      ","UB070299",2.33,0
"10-0300-320","07-02-1999","FROM UTILITIES      ","UB070299",0,40
"10-1020-000","07-02-1999","FROM UTILITIES      ","UB070299",40,0
"10-1200-000","07-02-1999","FROM UTILITIES      ","UB070299",0,471
"10-0300-001","07-02-1999","FROM UTILITIES      ","UB070299",471,0
"10-1200-000","07-02-1999","FROM UTILITIES      ","UB070299",0,150
"10-1020-000","07-02-1999","FROM UTILITIES      ","UB070299",150,0
"10-1200-000","07-06-1999","FROM UTILITIES      ","UB070699",0,1738.97
"10-1050-000","07-06-1999","FROM UTILITIES      ","UB070699",1738.97,0
"10-1200-000","07-06-1999","FROM UTILITIES      ","UB070699",0,1282.43
"10-1050-000","07-06-1999","FROM UTILITIES      ","UB070699",1282.43,0
"10-1200-000","07-06-1999","FROM UTILITIES      ","UB070699",0,20110.48
"10-1020-000","07-06-1999","FROM UTILITIES      ","UB070699",20110.48,0
"10-0400-320","07-06-1999","FROM UTILITIES      ","UB070699",0,.9
"10-1050-000","07-06-1999","FROM UTILITIES      ","UB070699",.9,0
"10-0500-320","07-06-1999","FROM UTILITIES      ","UB070699",0,.93
"10-1050-000","07-06-1999","FROM UTILITIES      ","UB070699",.93,0
"10-0300-320","07-06-1999","FROM UTILITIES      ","UB070699",0,2.91
"10-1020-000","07-06-1999","FROM UTILITIES      ","UB070699",2.91,0
"10-1200-000","07-06-1999","FROM UTILITIES      ","UB070699",0,493
"10-0300-001","07-06-1999","FROM UTILITIES      ","UB070699",493,0
"10-0600-320","07-06-1999","FROM UTILITIES      ","UB070699",0,.5
"10-1020-000","07-06-1999","FROM UTILITIES      ","UB070699",.5,0
"10-1200-000","07-06-1999","FROM UTILITIES      ","UB070699",0,317.1
"10-1020-000","07-06-1999","FROM UTILITIES      ","UB070699",317.1,0
"10-0300-401","07-08-1999","Wages               ","~       ",1650.2,0
"10-0300-403","07-08-1999","Wages               ","~       ",389.98,0
"10-0300-404","07-08-1999","Wages               ","~       ",400,0
"10-0300-420","07-08-1999","Ret Match           ","~       ",110.56,0
"10-0300-420","07-08-1999","Ret Match           ","~       ",26.13,0
"10-0300-421","07-08-1999","Soc Match           ","~       ",102.31,0
"10-0300-421","07-08-1999","Soc Match           ","~       ",24.18,0
"10-0300-421","07-08-1999","Soc Match           ","~       ",24.8,0
"10-0300-421","07-08-1999","Med Match           ","~       ",23.92,0
"10-0300-421","07-08-1999","Med Match           ","~       ",5.65,0
"10-0300-421","07-08-1999","Med Match           ","~       ",5.8,0
"10-0400-401","07-08-1999","Wages               ","~       ",3073.51,0
"10-0400-403","07-08-1999","Wages               ","~       ",578.78,0
"10-0400-404","07-08-1999","Wages               ","~       ",500,0
"10-0400-420","07-08-1999","Ret Match           ","~       ",205.93,0
"10-0400-420","07-08-1999","Ret Match           ","~       ",38.78,0
"10-0400-420","07-08-1999","Ret Match           ","~       ",33.5,0
"10-0400-421","07-08-1999","Soc Match           ","~       ",190.55,0
"10-0400-421","07-08-1999","Soc Match           ","~       ",35.88,0
"10-0400-421","07-08-1999","Soc Match           ","~       ",31,0
"10-0400-421","07-08-1999","Med Match           ","~       ",44.57,0
"10-0400-421","07-08-1999","Med Match           ","~       ",8.39,0
"10-0400-421","07-08-1999","Med Match           ","~       ",7.25,0
"10-0500-401","07-08-1999","Wages               ","~       ",1461.36,0
"10-0500-404","07-08-1999","Wages               ","~       ",400,0
"10-0500-420","07-08-1999","Ret Match           ","~       ",82.95,0
"10-0500-420","07-08-1999","Ret Match           ","~       ",26.8,0
"10-0500-421","07-08-1999","Soc Match           ","~       ",90.61,0
"10-0500-421","07-08-1999","Soc Match           ","~       ",24.8,0
"10-0500-421","07-08-1999","Med Match           ","~       ",21.19,0
"10-0500-421","07-08-1999","Med Match           ","~       ",5.8,0
"10-1030-000","07-08-1999","PR Net              ","~       ",0,5072.64
"10-2100-000","07-08-1999","Withholdings        ","~       ",0,997.26
"10-2110-000","07-08-1999","Withholdings        ","~       ",0,352.58
"10-2120-000","07-08-1999","Withholdings        ","~       ",0,524.13
"10-2120-000","07-08-1999","Withholdings        ","~       ",0,122.57
"10-2120-000","07-08-1999","Soc Match Liab      ","~       ",0,524.13
"10-2120-000","07-08-1999","Med Match Liab      ","~       ",0,122.57
"10-2130-000","07-08-1999","Withholdings        ","~       ",0,469.84
"10-2130-000","07-08-1999","Ret Match Liab      ","~       ",0,524.65
"10-2140-000","07-08-1999","Deductions          ","~       ",0,16.06
"10-2140-000","07-08-1999","Deductions          ","~       ",0,117.17
"10-2140-000","07-08-1999","Deductions          ","~       ",0,8.12
"10-2150-000","07-08-1999","Deductions          ","~       ",0,600.96
"10-2170-000","07-08-1999","Deductions          ","~       ",0,172.5
"10-0300-418","07-08-1999","SCLGAG              ","6455    ",1382.1,0
"10-0400-418","07-08-1999","SCLGAG              ","6455    ",1612.45,0
"10-0500-418","07-08-1999","SCLGAG              ","6455    ",691.05,0
"10-1030-000","07-08-1999","AFLAC               ","6434    ",0,69.57
"10-1030-000","07-08-1999","SCLGAG              ","6455    ",0,4793.45
"10-1030-000","07-08-1999","SC STATE TREASURER  ","6454    ",0,172.5
"10-1030-000","07-08-1999","SC STATE EMP CR UN  ","6453    ",0,600.96
"10-1030-000","07-08-1999","EFTPS(FICA/FEDERAL) ","EFTPS   ",0,2290.7
"10-2100-000","07-08-1999","EFTPS(FICA/FEDERAL) ","EFTPS   ",997.26,0
"10-2120-000","07-08-1999","EFTPS(FICA/FEDERAL) ","EFTPS   ",1293.44,0
"10-2140-000","07-08-1999","SCLGAG              ","6455    ",1050.25,0
"10-2140-000","07-08-1999","AFLAC               ","6434    ",69.57,0
"10-2140-000","07-08-1999","SCLGAG              ","6455    ",57.6,0
"10-2150-000","07-08-1999","SC STATE EMP CR UN  ","6453    ",600.96,0
"10-2170-000","07-08-1999","SC STATE TREASURER  ","6454    ",172.5,0
"10-1200-000","07-08-1999","FROM UTILITIES      ","UB070899",0,2245.08
"10-1050-000","07-08-1999","FROM UTILITIES      ","UB070899",2245.08,0
"10-1200-000","07-08-1999","FROM UTILITIES      ","UB070899",0,2169.66
"10-1050-000","07-08-1999","FROM UTILITIES      ","UB070899",2169.66,0
"10-1200-000","07-08-1999","FROM UTILITIES      ","UB070899",0,27961.89
"10-1020-000","07-08-1999","FROM UTILITIES      ","UB070899",27961.89,0
"10-1200-000","07-08-1999","FROM UTILITIES      ","UB070899",0,766
"10-0300-001","07-08-1999","FROM UTILITIES      ","UB070899",766,0
"10-1200-000","07-08-1999","FROM UTILITIES      ","UB070899",0,512.75
"10-1020-000","07-08-1999","FROM UTILITIES      ","UB070899",512.75,0
"10-1120-000","07-01-1999","METER DEPOSIT       ","~       ",120,0
"10-2200-000","07-01-1999","METER DEPOSIT       ","~       ",0,120
"10-1120-000","07-01-1999","METER DEPOSIT       ","~       ",200,0
"10-2200-000","07-01-1999","METER DEPOSIT       ","~       ",0,200
"10-1120-000","07-02-1999","METER DEPOSIT       ","~       ",75,0
"10-2200-000","07-02-1999","METER DEPOSIT       ","~       ",0,75
"10-1120-000","07-06-1999","METER DEPOSIT       ","~       ",50,0
"10-2200-000","07-06-1999","METER DEPOSIT       ","~       ",0,50
"10-1120-000","07-07-1999","METER DEPOSIT       ","~       ",125,0
"10-2200-000","07-07-1999","METER DEPOSIT       ","~       ",0,125
"10-1020-000","07-08-1999","EL MISC-CUT SEAL FIN","~       ",25,0
"10-0300-350","07-08-1999","EL MISC-CUT SEAL FIN","~       ",0,25
"10-1200-000","07-09-1999","FROM UTILITIES      ","UB070999",0,1318.03
"10-1050-000","07-09-1999","FROM UTILITIES      ","UB070999",1318.03,0
"10-1200-000","07-09-1999","FROM UTILITIES      ","UB070999",0,1301.81
"10-1050-000","07-09-1999","FROM UTILITIES      ","UB070999",1301.81,0
"10-1200-000","07-09-1999","FROM UTILITIES      ","UB070999",0,8670.89
"10-1020-000","07-09-1999","FROM UTILITIES      ","UB070999",8670.89,0
"10-1200-000","07-09-1999","FROM UTILITIES      ","UB070999",0,426
"10-0300-001","07-09-1999","FROM UTILITIES      ","UB070999",426,0
"10-1200-000","07-09-1999","FROM UTILITIES      ","UB070999",0,241.5
"10-1020-000","07-09-1999","FROM UTILITIES      ","UB070999",241.5,0
"10-2020-000","07-01-1999","SOUTH CAROLINA TAX C","07/99   ",3969.69,0
"10-2010-000","07-01-1999","SOUTH CAROLINA TAX C","07/99   ",0,3969.69
"10-2330-000","07-01-1999","THE BANK OF NEW YORK","07/99   ",1694.45,0
"10-2010-000","07-01-1999","THE BANK OF NEW YORK","07/99   ",0,1694.45
"10-0300-412","07-01-1999","WHITE HARDWARE      ","7/99    ",9.32,0
"10-0400-412","07-01-1999","WHITE HARDWARE      ","7/99    ",138.22,0
"10-0400-443","07-01-1999","WHITE HARDWARE      ","7/99    ",30.61,0
"10-0500-443","07-01-1999","WHITE HARDWARE      ","7/99    ",101.83,0
"10-0300-430","07-01-1999","WHITE HARDWARE      ","7/99    ",9,0
"10-0300-450","07-01-1999","WHITE HARDWARE      ","7/99    ",77.41,0
"10-2010-000","07-01-1999","WHITE HARDWARE      ","7/99    ",0,366.39
"10-0400-442","07-01-1999","FISHER SCIENTIFIC   ","07/99   ",80.97,0
"10-0500-442","07-01-1999","FISHER SCIENTIFIC   ","07/99   ",149.78,0
"10-2010-000","07-01-1999","FISHER SCIENTIFIC   ","07/99   ",0,230.75
"10-0500-438","07-01-1999","DAVIS & FLOYD, INC. ","7/99    ",210,0
"10-0400-438","07-01-1999","DAVIS & FLOYD, INC. ","7/99    ",23,0
"10-2010-000","07-01-1999","DAVIS & FLOYD, INC. ","7/99    ",0,233
"10-0400-416","07-01-1999","WEST CAROLINA TELEPH","7/99    ",31.49,0
"10-2010-000","07-01-1999","WEST CAROLINA TELEPH","7/99    ",0,31.49
"10-0400-444","07-01-1999","TRIANGLE HARDWARE   ","7/99    ",338.56,0
"10-2010-000","07-01-1999","TRIANGLE HARDWARE   ","7/99    ",0,338.56
"10-0300-450","07-01-1999","LINE EQUIPMENT SALES","7/99    ",47.09,0
"10-2010-000","07-01-1999","LINE EQUIPMENT SALES","7/99    ",0,47.09
"10-0500-428","07-01-1999","MCCORMICK MESSENGER ","7/99    ",44.4,0
"10-2010-000","07-01-1999","MCCORMICK MESSENGER ","7/99    ",0,44.4
"10-0400-442","07-01-1999","IDEXX LABORATORIES, ","7/99    ",804.63,0
"10-2010-000","07-01-1999","IDEXX LABORATORIES, ","7/99    ",0,804.63
"10-0400-411","07-01-1999","INDCHEM, INC.       ","7/99    ",1097.1,0
"10-0500-411","07-01-1999","INDCHEM, INC.       ","7/99    ",506.87,0
"10-2010-000","07-01-1999","INDCHEM, INC.       ","7/99    ",0,1603.97
"10-0400-412","07-01-1999","KELLY'S SAW SHOP    ","7/99    ",550.67,0
"10-2010-000","07-01-1999","KELLY'S SAW SHOP    ","7/99    ",0,550.67
"10-0500-428","07-01-1999","INDEX JOURNAL       ","7/99    ",46.94,0
"10-2010-000","07-01-1999","INDEX JOURNAL       ","7/99    ",0,46.94
"10-0300-414","07-01-1999","MCCORMICK COUNTY    ","7/99    ",291.25,0
"10-0400-414","07-01-1999","MCCORMICK COUNTY    ","7/99    ",291.25,0
"10-0500-414","07-01-1999","MCCORMICK COUNTY    ","7/99    ",291.23,0
"10-2010-000","07-01-1999","MCCORMICK COUNTY    ","7/99    ",0,873.73
"10-0500-443","07-01-1999","VALLEN SAFETY SUPPLY","7/99    ",82.16,0
"10-2010-000","07-01-1999","VALLEN SAFETY SUPPLY","7/99    ",0,82.16
"10-0300-412","07-01-1999","TOOLE SUPPLY COMPANY","7/99    ",102.04,0
"10-0400-412","07-01-1999","TOOLE SUPPLY COMPANY","7/99    ",102.04,0
"10-0500-412","07-01-1999","TOOLE SUPPLY COMPANY","7/99    ",102.04,0
"10-2010-000","07-01-1999","TOOLE SUPPLY COMPANY","7/99    ",0,306.12
"10-0300-409","07-01-1999","U. S. DEPT OF ENERGY","7/99    ",2304.98,0
"10-2010-000","07-01-1999","U. S. DEPT OF ENERGY","7/99    ",0,2304.98
"10-0300-416","07-01-1999","AT&T                ","7/99    ",38.32,0
"10-0400-416","07-01-1999","AT&T                ","7/99    ",38.32,0
"10-0500-416","07-01-1999","AT&T                ","7/99    ",38.33,0
"10-2010-000","07-01-1999","AT&T                ","7/99    ",0,114.97
"10-0300-416","07-01-1999","GTE SOUTH           ","7/99    ",112.28,0
"10-0400-416","07-01-1999","GTE SOUTH           ","7/99    ",112.28,0
"10-0500-416","07-01-1999","GTE SOUTH           ","7/99    ",112.27,0
"10-2010-000","07-01-1999","GTE SOUTH           ","7/99    ",0,336.83
"10-0300-408","07-01-1999","SCE&G               ","7/99    ",80075.36,0
"10-2010-000","07-01-1999","SCE&G               ","7/99    ",0,80075.36
"10-0400-412","07-01-1999","FERGUSON ENTERPRISES","7/99    ",78.48,0
"10-2010-000","07-01-1999","FERGUSON ENTERPRISES","7/99    ",0,78.48
"10-0500-440","07-01-1999","COMM. OF PUBLIC WORK","7/99    ",617.28,0
"10-2010-000","07-01-1999","COMM. OF PUBLIC WORK","7/99    ",0,617.28
"10-0500-443","07-01-1999","LOWE'S HOME CENTER -","7/99    ",44.76,0
"10-2010-000","07-01-1999","LOWE'S HOME CENTER -","7/99    ",0,44.76
"10-0400-412","07-01-1999","PIPELINE SUPPLY CO.,","7/99    ",338.89,0
"10-2010-000","07-01-1999","PIPELINE SUPPLY CO.,","7/99    ",0,338.89
"10-0400-444","07-01-1999","WILSON BROTHER SAND ","7/99    ",617.05,0
"10-2010-000","07-01-1999","WILSON BROTHER SAND ","7/99    ",0,617.05
"10-0400-412","07-01-1999","HUGHES SUPPPLY, INC.","7/99    ",191.69,0
"10-2010-000","07-01-1999","HUGHES SUPPPLY, INC.","7/99    ",0,191.69
"10-0500-443","07-01-1999","HACH COMPANY        ","7/99    ",77,0
"10-2010-000","07-01-1999","HACH COMPANY        ","7/99    ",0,77
"10-0300-414","07-01-1999","W & J AUTOMOTIVE    ","7/99    ",265.54,0
"10-0400-414","07-01-1999","W & J AUTOMOTIVE    ","7/99    ",265.54,0
"10-0500-414","07-01-1999","W & J AUTOMOTIVE    ","7/99    ",265.56,0
"10-2010-000","07-01-1999","W & J AUTOMOTIVE    ","7/99    ",0,796.64
"10-0300-412","07-01-1999","GEORGIA CAROLINA WEL","7/99    ",17.44,0
"10-0400-412","07-01-1999","GEORGIA CAROLINA WEL","7/99    ",17.44,0
"10-0500-412","07-01-1999","GEORGIA CAROLINA WEL","7/99    ",17.44,0
"10-2010-000","07-01-1999","GEORGIA CAROLINA WEL","7/99    ",0,52.32
"10-0300-450","07-01-1999","ELECTRIC UTILITY SUP","7/99    ",4418.87,0
"10-2010-000","07-01-1999","ELECTRIC UTILITY SUP","7/99    ",0,4418.87
"10-0300-412","07-01-1999","AMERICAN SAFETY UTIL","7/99    ",111.14,0
"10-0400-412","07-01-1999","AMERICAN SAFETY UTIL","7/99    ",111.14,0
"10-0500-412","07-01-1999","AMERICAN SAFETY UTIL","7/99    ",111.14,0
"10-2010-000","07-01-1999","AMERICAN SAFETY UTIL","7/99    ",0,333.42
"10-0300-412","07-01-1999","CARQUEST AUTO SUPPLY","7/99    ",61.63,0
"10-0300-414","07-01-1999","CARQUEST AUTO SUPPLY","7/99    ",65.66,0
"10-0400-414","07-01-1999","CARQUEST AUTO SUPPLY","7/99    ",33.22,0
"10-0500-414","07-01-1999","CARQUEST AUTO SUPPLY","7/99    ",22.61,0
"10-0300-422","07-01-1999","CARQUEST AUTO SUPPLY","7/99    ",116.25,0
"10-0400-422","07-01-1999","CARQUEST AUTO SUPPLY","7/99    ",116.25,0
"10-0500-422","07-01-1999","CARQUEST AUTO SUPPLY","7/99    ",116.27,0
"10-2010-000","07-01-1999","CARQUEST AUTO SUPPLY","7/99    ",0,531.89
"10-0300-428","07-01-1999","STROM'S DRUG STORE  ","7/99    ",282.57,0
"10-0400-442","07-01-1999","STROM'S DRUG STORE  ","7/99    ",7.45,0
"10-0500-442","07-01-1999","STROM'S DRUG STORE  ","7/99    ",25,0
"10-2010-000","07-01-1999","STROM'S DRUG STORE  ","7/99    ",0,315.02
"10-0300-412","07-01-1999","MCCORMICK BUILDING S","7/99    ",33.88,0
"10-0400-412","07-01-1999","MCCORMICK BUILDING S","7/99    ",144.02,0
"10-0500-443","07-01-1999","MCCORMICK BUILDING S","7/99    ",4.45,0
"10-2010-000","07-01-1999","MCCORMICK BUILDING S","7/99    ",0,182.35
"10-0300-414","07-01-1999","J. W. FOOSHE, INC.  ","7/99    ",46.91,0
"10-2010-000","07-01-1999","J. W. FOOSHE, INC.  ","7/99    ",0,46.91
"10-0500-442","07-01-1999","GREENWOOD COOPERATIV","7/99    ",128.6,0
"10-2010-000","07-01-1999","GREENWOOD COOPERATIV","7/99    ",0,128.6
"10-0300-412","07-01-1999","SHEALY ELECTRICAL WH","7/99    ",187.11,0
"10-2010-000","07-01-1999","SHEALY ELECTRICAL WH","7/99    ",0,187.11
"10-0300-437","07-01-1999","CINTAS RENTAL UNIFOR","7/99    ",388.59,0
"10-0400-437","07-01-1999","CINTAS RENTAL UNIFOR","7/99    ",117.12,0
"10-0500-437","07-01-1999","CINTAS RENTAL UNIFOR","7/99    ",88.44,0
"10-0400-443","07-01-1999","CINTAS RENTAL UNIFOR","7/99    ",3.87,0
"10-0300-413","07-01-1999","CINTAS RENTAL UNIFOR","7/99    ",2.51,0
"10-0400-413","07-01-1999","CINTAS RENTAL UNIFOR","7/99    ",2.51,0
"10-0500-413","07-01-1999","CINTAS RENTAL UNIFOR","7/99    ",2.51,0
"10-2010-000","07-01-1999","CINTAS RENTAL UNIFOR","7/99    ",0,605.55
"10-0400-410","07-01-1999","LITTLE RIVER ELECTRI","7/99    ",3406,0
"10-2010-000","07-01-1999","LITTLE RIVER ELECTRI","7/99    ",0,3406
"10-0300-448","07-01-1999","PIEDMONT COCA-COLA  ","7/99    ",71.73,0
"10-0400-448","07-01-1999","PIEDMONT COCA-COLA  ","7/99    ",71.73,0
"10-0500-448","07-01-1999","PIEDMONT COCA-COLA  ","7/99    ",71.72,0
"10-2010-000","07-01-1999","PIEDMONT COCA-COLA  ","7/99    ",0,215.18
"10-0300-448","07-01-1999","LANCE               ","7/99    ",34.35,0
"10-0400-448","07-01-1999","LANCE               ","7/99    ",34.35,0
"10-0500-448","07-01-1999","LANCE               ","7/99    ",34.34,0
"10-2010-000","07-01-1999","LANCE               ","7/99    ",0,103.04
"10-0300-412","07-01-1999","NAPA AUTO PARTS     ","7/99    ",49.79,0
"10-0300-414","07-01-1999","NAPA AUTO PARTS     ","7/99    ",86.79,0
"10-0400-414","07-01-1999","NAPA AUTO PARTS     ","7/99    ",8.56,0
"10-0300-422","07-01-1999","NAPA AUTO PARTS     ","7/99    ",27.86,0
"10-0400-422","07-01-1999","NAPA AUTO PARTS     ","7/99    ",27.86,0
"10-0500-422","07-01-1999","NAPA AUTO PARTS     ","7/99    ",27.85,0
"10-0500-443","07-01-1999","NAPA AUTO PARTS     ","7/99    ",16.53,0
"10-2010-000","07-01-1999","NAPA AUTO PARTS     ","7/99    ",0,245.24
"10-0300-416","07-01-1999","BELL ATLANTIC MOBILE","7/99    ",10.88,0
"10-0400-416","07-01-1999","BELL ATLANTIC MOBILE","7/99    ",10.88,0
"10-0500-416","07-01-1999","BELL ATLANTIC MOBILE","7/99    ",10.88,0
"10-2010-000","07-01-1999","BELL ATLANTIC MOBILE","7/99    ",0,32.64
