~ACCTNO~|~TRDATE~|~TRTYPE~|~TRDESC~|~TRAMT~|~REV1~|~REV2~|~REV3~|~REV4~|~REV5~|~REV6~|~REV7~|~REV8~|~REV9~|~REV10~|~REV11~|~REV12~|~REV13~|~REV14~|~REV15~|~TAX1~|~TAX2~|~TAX3~|~TAX4~|~TAX5~|~TAX6~|~TAX7~|~TAX8~|~TAX9~|~TAX10~|~TAX11~|~TAX12~|~TAX13~|~TAX14~|~TAX15~|~MTY1~|~MTY2~|~MTY3~|~MTY4~|~MTY5~|~MTY6~|~MTY7~|~CRD1~|~CRD2~|~CRD3~|~CRD4~|~CRD5~|~CRD6~|~CRD7~|~PRD1~|~PRD2~|~PRD3~|~PRD4~|~PRD5~|~PRD6~|~PRD7~|~ERD1~|~ERD2~|~ERD3~|~ERD4~|~ERD5~|~ERD6~|~ERD7~|~BLNO~|~RDATE~|~BDATE~|~PDDATE~|~DDATE~|~PRP~|~OPNO~|~RBAL~|~CHKA~|~CSHA~|~PDATE~
~3~|~09/18/2017~|~6~|~penalty~|~5.94~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~5.94~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~0~|~~|~~|~~|~~|~0~|~0~|~65.30~|~0.00~|~0.00~|~~
~3~|~08/31/2017~|~1~|~Utility Billing~|~59.36~|~11.25~|~20.11~|~24.00~|~2.00~|~2.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~3~|~0~|~0~|~0~|~0~|~0~|~0~|~214090~|~0~|~0~|~0~|~0~|~0~|~0~|~211590~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~2~|~08/23/2017~|~08/31/2017~|~09/15/2017~|~09/11/2017~|~0~|~5~|~59.36~|~0.00~|~0.00~|~07/21/2017~
~3~|~08/16/2017~|~4~|~CM-ck#~|~56.70~|~10.42~|~18.28~|~24.00~|~2.00~|~2.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~0~|~~|~~|~~|~~|~2~|~5~|~0.00~|~56.70~|~0.00~|~~
~3~|~07/31/2017~|~1~|~Utility Billing~|~56.70~|~10.42~|~18.28~|~24.00~|~2.00~|~2.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~3~|~0~|~0~|~0~|~0~|~0~|~0~|~211590~|~0~|~0~|~0~|~0~|~0~|~0~|~210110~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~2~|~07/21/2017~|~07/31/2017~|~08/15/2017~|~08/10/2017~|~0~|~5~|~56.70~|~0.00~|~0.00~|~06/23/2017~
~3~|~07/05/2017~|~4~|~CM-ck#8113~|~132.01~|~23.10~|~45.98~|~48.00~|~4.00~|~4.00~|~0.00~|~6.93~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~0~|~~|~~|~~|~~|~2~|~5~|~0.00~|~132.01~|~0.00~|~~
~3~|~06/30/2017~|~1~|~Utility Billing~|~55.75~|~9.44~|~18.31~|~24.00~|~2.00~|~2.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~3~|~0~|~0~|~0~|~0~|~0~|~0~|~210110~|~0~|~0~|~0~|~0~|~0~|~0~|~207710~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~2~|~06/23/2017~|~06/30/2017~|~07/17/2017~|~07/10/2017~|~0~|~5~|~132.01~|~0.00~|~0.00~|~05/25/2017~
~3~|~06/16/2017~|~6~|~penalty~|~6.93~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~6.93~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~0~|~~|~~|~~|~~|~0~|~0~|~76.26~|~0.00~|~0.00~|~~
~3~|~05/31/2017~|~1~|~Utility Billing~|~69.33~|~13.66~|~27.67~|~24.00~|~2.00~|~2.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~3~|~0~|~0~|~0~|~0~|~0~|~0~|~207710~|~0~|~0~|~0~|~0~|~0~|~0~|~203680~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~2~|~05/25/2017~|~05/31/2017~|~06/15/2017~|~06/12/2017~|~0~|~5~|~69.33~|~0.00~|~0.00~|~04/20/2017~
~3~|~05/16/2017~|~4~|~CM-cc~|~73.41~|~14.93~|~30.48~|~24.00~|~2.00~|~2.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~0~|~~|~~|~~|~~|~4~|~5~|~0.00~|~73.41~|~0.00~|~~
~3~|~04/28/2017~|~1~|~Utility Billing~|~73.41~|~14.93~|~30.48~|~24.00~|~2.00~|~2.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~3~|~0~|~0~|~0~|~0~|~0~|~0~|~203680~|~0~|~0~|~0~|~0~|~0~|~0~|~199160~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~2~|~04/20/2017~|~04/28/2017~|~05/15/2017~|~05/10/2017~|~0~|~5~|~73.41~|~0.00~|~0.00~|~03/27/2017~
~3~|~04/17/2017~|~4~|~CM-8136~|~69.82~|~13.81~|~28.01~|~24.00~|~2.00~|~2.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~0~|~~|~~|~~|~~|~2~|~5~|~0.00~|~69.82~|~0.00~|~~
~3~|~03/30/2017~|~1~|~Utility Billing~|~69.82~|~13.81~|~28.01~|~24.00~|~2.00~|~2.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~3~|~0~|~0~|~0~|~0~|~0~|~0~|~199160~|~0~|~0~|~0~|~0~|~0~|~0~|~195070~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~2~|~03/27/2017~|~03/30/2017~|~04/17/2017~|~04/10/2017~|~0~|~5~|~69.82~|~0.00~|~0.00~|~02/20/2017~
~3~|~03/17/2017~|~4~|~CM-cc~|~6.30~|~0.00~|~0.00~|~0.00~|~0.00~|~.89~|~0.00~|~5.41~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~0~|~~|~~|~~|~~|~4~|~5~|~0.00~|~6.30~|~0.00~|~~
~3~|~03/17/2017~|~4~|~CM-8108~|~53.20~|~8.92~|~17.17~|~24.00~|~2.00~|~1.11~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~0~|~~|~~|~~|~~|~2~|~5~|~6.30~|~53.20~|~0.00~|~~
~3~|~03/16/2017~|~6~|~penalty~|~5.41~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~5.41~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~0~|~~|~~|~~|~~|~0~|~0~|~59.50~|~0.00~|~0.00~|~~
~3~|~02/28/2017~|~1~|~Utility Billing~|~54.09~|~8.92~|~17.17~|~24.00~|~2.00~|~2.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~3~|~0~|~0~|~0~|~0~|~0~|~0~|~195070~|~0~|~0~|~0~|~0~|~0~|~0~|~193990~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~2~|~02/20/2017~|~02/28/2017~|~03/15/2017~|~03/10/2017~|~0~|~5~|~54.09~|~0.00~|~0.00~|~01/23/2017~
~3~|~02/15/2017~|~4~|~CM-8099~|~54.09~|~8.92~|~17.17~|~24.00~|~2.00~|~2.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~0~|~~|~~|~~|~~|~2~|~5~|~0.00~|~54.09~|~0.00~|~~
~3~|~01/31/2017~|~1~|~Utility Billing~|~54.09~|~8.92~|~17.17~|~24.00~|~2.00~|~2.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~3~|~0~|~0~|~0~|~0~|~0~|~0~|~193990~|~0~|~0~|~0~|~0~|~0~|~0~|~191910~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~2~|~01/23/2017~|~01/31/2017~|~02/15/2017~|~02/10/2017~|~0~|~5~|~54.09~|~0.00~|~0.00~|~12/19/2016~
~3~|~01/24/2017~|~4~|~CM-8105~|~59.50~|~8.92~|~17.17~|~24.00~|~2.00~|~2.00~|~0.00~|~5.41~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~0~|~~|~~|~~|~~|~2~|~5~|~0.00~|~59.50~|~0.00~|~~
~3~|~01/18/2017~|~6~|~penalty~|~5.41~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~5.41~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~0~|~~|~~|~~|~~|~0~|~0~|~59.50~|~0.00~|~0.00~|~~
~3~|~01/04/2017~|~4~|~CM-8103-dec~|~59.50~|~8.92~|~17.17~|~24.00~|~2.00~|~2.00~|~0.00~|~5.41~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~0~|~~|~~|~~|~~|~2~|~5~|~54.09~|~59.50~|~0.00~|~~
~3~|~12/30/2016~|~1~|~Utility Billing~|~54.09~|~8.92~|~17.17~|~24.00~|~2.00~|~2.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~3~|~0~|~0~|~0~|~0~|~0~|~0~|~191910~|~0~|~0~|~0~|~0~|~0~|~0~|~190900~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~2~|~12/19/2016~|~12/30/2016~|~01/17/2017~|~01/10/2017~|~0~|~5~|~113.59~|~0.00~|~0.00~|~11/22/2016~
~3~|~12/16/2016~|~6~|~penalty~|~5.41~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~5.41~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~0~|~~|~~|~~|~~|~0~|~0~|~59.50~|~0.00~|~0.00~|~~
~3~|~11/30/2016~|~1~|~Utility Billing~|~54.09~|~8.92~|~17.17~|~24.00~|~2.00~|~2.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~3~|~0~|~0~|~0~|~0~|~0~|~0~|~190900~|~0~|~0~|~0~|~0~|~0~|~0~|~189640~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~2~|~11/22/2016~|~11/30/2016~|~12/15/2016~|~12/12/2016~|~0~|~5~|~54.09~|~0.00~|~0.00~|~10/24/2016~
