"Acct Number","Date","Description","Reference","Debit","Credit"
"20-100-02","07/01/16","Opening Entry       ","Sys     ",5844.83,0
"20-100-03","07/01/16","Opening Entry       ","Sys     ",2000,0
"20-100-04","07/01/16","Opening Entry       ","Sys     ",4471.98,0
"20-100-08","07/01/16","Opening Entry       ","Sys     ",1473986.92,0
"20-100-09","07/01/16","Opening Entry       ","Sys     ",430294.2,0
"20-100-10","07/01/16","Opening Entry       ","Sys     ",20205.78,0
"20-100-11","07/01/16","Opening Entry       ","Sys     ",36758.6,0
"20-100-12","07/01/16","Opening Entry       ","Sys     ",0,1193186.25
"20-110-01","07/01/16","Opening Entry       ","Sys     ",162.84,0
"20-120-01","07/01/16","Opening Entry       ","Sys     ",0,12.48
"20-130-01","07/01/16","Opening Entry       ","Sys     ",150,0
"20-200-02","07/01/16","Opening Entry       ","Sys     ",0,1825.71
"20-200-03","07/01/16","Opening Entry       ","Sys     ",0,557.38
"20-200-04","07/01/16","Opening Entry       ","Sys     ",0,15861.37
"20-200-05","07/01/16","Opening Entry       ","Sys     ",0,2181.24
"20-200-06","07/01/16","Opening Entry       ","Sys     ",0,927822.68
"20-200-08","07/01/16","Opening Entry       ","Sys     ",0,268.87
"20-200-09","07/01/16","Opening Entry       ","Sys     ",0,403.3
"20-200-50","07/01/16","Opening Entry       ","Sys     ",136609.91,0
"30-100-10","07/01/16","Opening Entry       ","Sys     ",105675.75,0
"30-100-17","07/01/16","Opening Entry       ","Sys     ",84835.22,0
"30-200-50","07/01/16","Opening Entry       ","Sys     ",0,190510.97
"05-100-01","07/01/10","Opening Entry       ","Sys     ",42698.03,0
"05-100-02","07/01/10","Opening Entry       ","Sys     ",3399.42,0
"05-100-04","07/01/10","Opening Entry       ","Sys     ",955025.19,0
"05-100-08","07/01/10","Opening Entry       ","Sys     ",258.08,0
"05-100-25","07/01/10","Opening Entry       ","Sys     ",40000,0
"05-100-30","07/01/10","Opening Entry       ","Sys     ",29424.5,0
"05-200-01","07/01/10","Opening Entry       ","Sys     ",0,98753.57
"05-200-03","07/01/10","Opening Entry       ","Sys     ",0,6401.74
"05-200-20","07/01/10","Opening Entry       ","Sys     ",0,10000
"05-200-50","07/01/10","Opening Entry       ","Sys     ",0,955622.55
"05-300-04","07/02/10","DR LAWRENCE         ","9655    ",0,688.92
"05-100-01","07/02/10","DR LAWRENCE         ","9655    ",688.92,0
"05-300-04","07/02/10","VDOT                ","45442954",0,1139.83
"05-100-01","07/02/10","VDOT                ","45442954",1139.83,0
"05-300-04","07/02/10","PROBATION OFFICE    ","45442954",0,1054.67
"05-100-01","07/02/10","PROBATION OFFICE    ","45442954",1054.67,0
"05-300-04","07/02/10","STREET FAMILY       ","2142    ",0,1443.75
"05-100-01","07/02/10","STREET FAMILY       ","2142    ",1443.75,0
"05-520-07","07/02/10","WHITLOW & YOUELL PLC","Statemen",7868.5,0
"05-200-04","07/02/10","WHITLOW & YOUELL PLC","Statemen",0,7868.5
"05-100-01","07/02/10","WHITLOW & YOUELL PLC"," 3318   ",0,7868.5
"05-200-04","07/02/10","WHITLOW & YOUELL PLC"," 3318   ",7868.5,0
"05-300-04","07/02/10","COMFORT INN         ","6610    ",0,864
"05-100-01","07/02/10","COMFORT INN         ","6610    ",864,0
"05-300-04","07/08/10","FAMILY DOLLAR       ","3373495 ",0,5050
"05-100-01","07/08/10","FAMILY DOLLAR       ","3373495 ",5050,0
"05-300-04","07/08/10","ABC STORE           ","45460622",0,1032.5
"05-100-01","07/08/10","ABC STORE           ","45460622",1032.5,0
"05-300-04","07/08/10","ELAINE'S            ","1609    ",0,1250
"05-100-01","07/08/10","ELAINE'S            ","1609    ",1250,0
"05-300-04","07/08/10","CLLINCH INDEP. LIVIN","10109   ",0,2408.17
"05-100-01","07/08/10","CLLINCH INDEP. LIVIN","10109   ",2408.17,0
"05-300-04","07/08/10","ROTECH (LOVE JOY)   ","3219240 ",0,1297.67
"05-300-22","07/08/10","ROTECH (LOVE JOY)   ","3219240 ",0,2101.75
"05-100-01","07/08/10","ROTECH (LOVE JOY)   ","3219240 ",3399.42,0
"05-300-04","07/08/10","LINCARE             ","14473632",0,702.67
"05-100-01","07/08/10","LINCARE             ","14473632",702.67,0
"05-300-04","07/08/10","LPL RESTAURANT      ","4295    ",0,3675
"05-100-01","07/08/10","LPL RESTAURANT      ","4295    ",3675,0
"05-300-04","07/08/10","MOUNTAINEER PUB.    ","11670   ",0,875
"05-100-01","07/08/10","MOUNTAINEER PUB.    ","11670   ",875,0
"05-300-04","07/08/10","VA MT. MICRO        ","15738   ",0,702.67
"05-100-01","07/08/10","VA MT. MICRO        ","15738   ",702.67,0
"05-300-04","07/08/10","PLAZA PHARMACY      ","7666    ",0,1488.67
"05-100-01","07/08/10","PLAZA PHARMACY      ","7666    ",1488.67,0
"05-300-04","07/08/10","SHERRY'S BEAUTY     ","3739    ",0,233.33
"05-100-01","07/08/10","SHERRY'S BEAUTY     ","3739    ",233.33,0
"05-300-04","07/08/10","CASA                ","3311    ",0,702.67
"05-100-01","07/08/10","CASA                ","3311    ",702.67,0
"05-300-04","07/08/10","A+RENTALS           ","016120  ",0,3511.67
"05-100-01","07/08/10","A+RENTALS           ","016120  ",3511.67,0
"05-300-04","07/08/10","MOVIE GALLERY       ","3125508 ",0,1516.67
"05-100-01","07/08/10","MOVIE GALLERY       ","3125508 ",1516.67,0
"05-300-04","07/08/10","BUCHANAN THERAPY    ","12565   ",0,1493.92
"05-100-01","07/08/10","BUCHANAN THERAPY    ","12565   ",1493.92,0
"05-400-10","07/08/10","PITNEY BOWES PURCHAS","8000-909",27.17,0
"05-200-04","07/08/10","PITNEY BOWES PURCHAS","8000-909",0,27.17
"05-400-10","07/08/10","FOOD CITY           ","405497  ",24.44,0
"05-200-04","07/08/10","FOOD CITY           ","405497  ",0,24.44
"05-500-08","07/08/10","G.M. REFRIGERATION I","8333    ",430,0
"05-200-04","07/08/10","G.M. REFRIGERATION I","8333    ",0,430
"05-500-08","07/08/10","G.M. REFRIGERATION I","8349    ",264,0
"05-200-04","07/08/10","G.M. REFRIGERATION I","8349    ",0,264
"05-500-08","07/08/10","G.M. REFRIGERATION I","2768    ",135,0
"05-200-04","07/08/10","G.M. REFRIGERATION I","2768    ",0,135
"05-500-08","07/08/10","G.M. REFRIGERATION I","8314    ",955,0
"05-200-04","07/08/10","G.M. REFRIGERATION I","8314    ",0,955
"05-500-08","07/08/10","G.M. REFRIGERATION I","2770    ",2100,0
"05-200-04","07/08/10","G.M. REFRIGERATION I","2770    ",0,2100
"05-500-08","07/08/10","G.M. REFRIGERATION I","8297    ",127,0
"05-200-04","07/08/10","G.M. REFRIGERATION I","8297    ",0,127
"05-400-10","07/08/10","PC MALL GOV         ","S5911899",92.84,0
"05-200-04","07/08/10","PC MALL GOV         ","S5911899",0,92.84
"05-500-08","07/08/10","Ratliff's Farm & Hom","126459  ",5.6,0
"05-200-04","07/08/10","Ratliff's Farm & Hom","126459  ",0,5.6
"05-500-08","07/08/10","HUBERT SOULYRETTE   ","89751   ",600,0
"05-200-04","07/08/10","HUBERT SOULYRETTE   ","89751   ",0,600
"05-500-08","07/08/10","HORN LOCKSMITH SERVI","001490  ",129.75,0
"05-200-04","07/08/10","HORN LOCKSMITH SERVI","001490  ",0,129.75
"05-500-07","07/08/10","BUCHANAN COUNTY P. S","109918  ",670,0
"05-200-04","07/08/10","BUCHANAN COUNTY P. S","109918  ",0,670
"05-400-10","07/08/10","DOMINION OFFICE PROD","342929/3",67.56,0
"05-200-04","07/08/10","DOMINION OFFICE PROD","342929/3",0,67.56
"05-500-08","07/08/10","CINTAS CORP. # 532  ","53270913",142.7,0
"05-200-04","07/08/10","CINTAS CORP. # 532  ","53270913",0,142.7
"05-500-08","07/08/10","FLEENOR SECURITY SYS","C244349,",600,0
"05-200-04","07/08/10","FLEENOR SECURITY SYS","C244349,",0,600
"05-300-03","07/08/10","TOWN OF GRUNDY      ","070810  ",7610.4,0
"05-200-04","07/08/10","TOWN OF GRUNDY      ","070810  ",0,7610.4
"05-100-01","07/08/10","BUCHANAN COUNTY P. S"," 3319   ",0,670
"05-200-04","07/08/10","BUCHANAN COUNTY P. S"," 3319   ",670,0
"05-100-01","07/08/10","CINTAS CORP. # 532  "," 3320   ",0,142.7
"05-200-04","07/08/10","CINTAS CORP. # 532  "," 3320   ",142.7,0
"05-100-01","07/08/10","DOMINION OFFICE PROD"," 3321   ",0,67.56
"05-200-04","07/08/10","DOMINION OFFICE PROD"," 3321   ",67.56,0
"05-100-01","07/08/10","FLEENOR SECURITY SYS"," 3322   ",0,600
"05-200-04","07/08/10","FLEENOR SECURITY SYS"," 3322   ",600,0
"05-100-01","07/08/10","FOOD CITY           "," 3323   ",0,24.44
"05-200-04","07/08/10","FOOD CITY           "," 3323   ",24.44,0
"05-100-01","07/08/10","G.M. REFRIGERATION I"," 3324   ",0,4011
"05-200-04","07/08/10","G.M. REFRIGERATION I"," 3324   ",4011,0
"05-100-01","07/08/10","HORN LOCKSMITH SERVI"," 3325   ",0,129.75
"05-200-04","07/08/10","HORN LOCKSMITH SERVI"," 3325   ",129.75,0
"05-100-01","07/08/10","HUBERT SOULYRETTE   "," 3326   ",0,600
"05-200-04","07/08/10","HUBERT SOULYRETTE   "," 3326   ",600,0
"05-100-01","07/08/10","PC MALL GOV         "," 3327   ",0,92.84
"05-200-04","07/08/10","PC MALL GOV         "," 3327   ",92.84,0
"05-100-01","07/08/10","PITNEY BOWES PURCHAS"," 3328   ",0,27.17
"05-200-04","07/08/10","PITNEY BOWES PURCHAS"," 3328   ",27.17,0
"05-100-01","07/08/10","Ratliff's Farm & Hom"," 3329   ",0,5.6
"05-200-04","07/08/10","Ratliff's Farm & Hom"," 3329   ",5.6,0
"05-100-01","07/08/10","TOWN OF GRUNDY      "," 3330   ",0,7610.4
"05-200-04","07/08/10","TOWN OF GRUNDY      "," 3330   ",7610.4,0
"05-520-07","07/12/10","MICHAEL GREEN       ","file# C1",4000,0
"05-200-04","07/12/10","MICHAEL GREEN       ","file# C1",0,4000
"05-520-07","07/12/10","JOHN A. BULLINGTON C","06082010",325,0
"05-200-04","07/12/10","JOHN A. BULLINGTON C","06082010",0,325
"05-520-07","07/12/10","JOHN A. BULLINGTON C","06182010",2850,0
"05-200-04","07/12/10","JOHN A. BULLINGTON C","06182010",0,2850
"05-500-08","07/12/10","F.S.I. MID STATE DIV","845643  ",204,0
"05-200-04","07/12/10","F.S.I. MID STATE DIV","845643  ",0,204
"05-100-01","07/12/10","JOHN A. BULLINGTON C"," 3331   ",0,3175
"05-200-04","07/12/10","JOHN A. BULLINGTON C"," 3331   ",3175,0
"05-100-01","07/12/10","F.S.I. MID STATE DIV"," 3332   ",0,204
"05-200-04","07/12/10","F.S.I. MID STATE DIV"," 3332   ",204,0
"05-100-01","07/12/10","MICHAEL GREEN       "," 3333   ",0,4000
"05-200-04","07/12/10","MICHAEL GREEN       "," 3333   ",4000,0
"05-520-07","07/13/10","PLYMOUTH SOUNDINGS, ","Project ",23530.28,0
"05-200-04","07/13/10","PLYMOUTH SOUNDINGS, ","Project ",0,23530.28
"05-100-01","07/13/10","PLYMOUTH SOUNDINGS, "," 3334   ",0,23530.28
"05-200-04","07/13/10","PLYMOUTH SOUNDINGS, "," 3334   ",23530.28,0
"05-500-04","07/13/10","MILLER RICHARDSON TR","June/Jul",8881.64,0
"05-200-04","07/13/10","MILLER RICHARDSON TR","June/Jul",0,8881.64
"05-100-01","07/13/10","MILLER RICHARDSON TR"," 3335   ",0,8881.64
"05-200-04","07/13/10","MILLER RICHARDSON TR"," 3335   ",8881.64,0
"05-300-45","07/12/10","M. Richardson Trust ","1688    ",0,100000
"05-100-01","07/12/10","M. Richardson Trust ","1688    ",100000,0
"05-300-06","07/14/10","TOWN OF GRUNDY      ","5723    ",0,312.24
"05-100-01","07/14/10","TOWN OF GRUNDY      ","5723    ",312.24,0
"05-300-04","07/14/10","COMFORT INN         ","6626    ",0,864
"05-100-01","07/14/10","COMFORT INN         ","6626    ",864,0
"05-300-60","07/14/10","LPL RESTAURANT      ","4323    ",0,383.2
"05-100-01","07/14/10","LPL RESTAURANT      ","4323    ",383.2,0
"05-520-07","07/14/10","APPALACHIAN SURVEYIN","INVOICE ",500,0
"05-200-04","07/14/10","APPALACHIAN SURVEYIN","INVOICE ",0,500
"05-100-01","07/14/10","APPALACHIAN SURVEYIN"," 3336   ",0,500
"05-200-04","07/14/10","APPALACHIAN SURVEYIN"," 3336   ",500,0
"05-400-02","07/14/10","BEVERLY S. TILLER- C","071410  ",35,0
"05-200-04","07/14/10","BEVERLY S. TILLER- C","071410  ",0,35
"05-100-01","07/14/10","BEVERLY S. TILLER- C"," 3337   ",0,35
"05-200-04","07/14/10","BEVERLY S. TILLER- C"," 3337   ",35,0
"05-400-02","07/14/10","BEVERLY S. TILLER- C","071410  ",16,0
"05-200-04","07/14/10","BEVERLY S. TILLER- C","071410  ",0,16
"05-100-01","07/14/10","BEVERLY S. TILLER- C"," 3338   ",0,16
"05-200-04","07/14/10","BEVERLY S. TILLER- C"," 3338   ",16,0
"05-300-04","07/15/10","STREET LAW FIRM     ","80923   ",0,6013
"05-100-01","07/15/10","STREET LAW FIRM     ","80923   ",6013,0
"05-300-04","07/16/10","Looney Eyecare      ","32377984",0,2396.73
"05-100-01","07/16/10","Looney Eyecare      ","32377984",2396.73,0
"05-300-06","07/16/10","LOONEY EYECARE      ","32377984",0,329.61
"05-100-01","07/16/10","LOONEY EYECARE      ","32377984",329.61,0
"05-400-02","07/16/10","BEVERLY S. TILLER- C","071610  ",32,0
"05-200-04","07/16/10","BEVERLY S. TILLER- C","071610  ",0,32
"05-100-01","07/16/10","BEVERLY S. TILLER- C"," 3339   ",0,32
"05-200-04","07/16/10","BEVERLY S. TILLER- C"," 3339   ",32,0
"05-300-04","07/21/10","ELAINES BOUTIQUE    ","1618    ",0,200
"05-100-01","07/21/10","ELAINES BOUTIQUE    ","1618    ",200,0
"05-300-04","07/21/10","LOCKHART FITNESS    ","10533   ",0,634.67
"05-100-01","07/21/10","LOCKHART FITNESS    ","10533   ",634.67,0
"05-300-04","07/16/10","FAMILY CARE CENTER  ","4395    ",0,1395.61
"05-100-01","07/16/10","FAMILY CARE CENTER  ","4395    ",1395.61,0
"05-300-04","07/16/10","FCC SUITE 3         ","4394    ",0,1240.62
"05-100-01","07/16/10","FCC SUITE 3         ","4394    ",1240.62,0
"05-300-04","07/22/10","BUCHANAN INSURANCE  ","4413    ",0,618.33
"05-100-01","07/22/10","BUCHANAN INSURANCE  ","4413    ",618.33,0
"05-300-06","07/22/10","BUCHANAN INSURANCE  ","4412    ",0,92.07
"05-100-01","07/22/10","BUCHANAN INSURANCE  ","4412    ",92.07,0
"05-520-05","07/21/10","VDOT                ","45492236",0,243225.12
"05-100-04","07/21/10","VDOT                ","45492236",243225.12,0
"05-400-40","07/28/10","TRUPOINT BANK       ","138312  ",26057.64,0
"05-400-45","07/28/10","TRUPOINT BANK       ","138312  ",7228.62,0
"05-200-04","07/28/10","TRUPOINT BANK       ","138312  ",0,33286.26
"05-400-12","07/28/10","VERIZON             ","00062152",198.13,0
"05-200-04","07/28/10","VERIZON             ","00062152",0,198.13
"05-500-06","07/28/10","APPLACHIAN POWER CO.","020-962-",492.9,0
"05-200-04","07/28/10","APPLACHIAN POWER CO.","020-962-",0,492.9
"05-500-06","07/28/10","APPLACHIAN POWER CO.","028-605-",420.66,0
"05-200-04","07/28/10","APPLACHIAN POWER CO.","028-605-",0,420.66
"05-500-06","07/28/10","APPLACHIAN POWER CO.","021-596-",205.48,0
"05-200-04","07/28/10","APPLACHIAN POWER CO.","021-596-",0,205.48
"05-500-06","07/28/10","APPLACHIAN POWER CO.","020-723-",99.79,0
"05-200-04","07/28/10","APPLACHIAN POWER CO.","020-723-",0,99.79
"05-500-06","07/28/10","APPLACHIAN POWER CO.","022-595-",21.45,0
"05-200-04","07/28/10","APPLACHIAN POWER CO.","022-595-",0,21.45
"05-500-06","07/28/10","APPLACHIAN POWER CO.","024-086-",1088.19,0
"05-200-04","07/28/10","APPLACHIAN POWER CO.","024-086-",0,1088.19
"05-500-06","07/28/10","APPLACHIAN POWER CO.","025-647-",111.43,0
"05-200-04","07/28/10","APPLACHIAN POWER CO.","025-647-",0,111.43
"05-500-06","07/28/10","APPLACHIAN POWER CO.","022-888-",12.69,0
"05-200-04","07/28/10","APPLACHIAN POWER CO.","022-888-",0,12.69
"05-100-01","07/28/10","APPLACHIAN POWER CO."," 3340   ",0,2452.59
"05-200-04","07/28/10","APPLACHIAN POWER CO."," 3340   ",2452.59,0
"05-100-01","07/28/10","TRUPOINT BANK       "," 3341   ",0,33286.26
"05-200-04","07/28/10","TRUPOINT BANK       "," 3341   ",33286.26,0
"05-100-01","07/28/10","VERIZON             "," 3342   ",0,198.13
"05-200-04","07/28/10","VERIZON             "," 3342   ",198.13,0
"05-300-04","07/29/10","VDOT                ","45519102",0,1139.83
"05-100-01","07/29/10","VDOT                ","45519102",1139.83,0
"05-300-04","07/29/10","PROBATION OFFICE    ","45519102",0,1054.67
"05-100-01","07/29/10","PROBATION OFFICE    ","45519102",1054.67,0
"05-300-04","07/29/10","CLINCH INDEP. LIVING","10139   ",0,2408.17
"05-100-01","07/29/10","CLINCH INDEP. LIVING","10139   ",2408.17,0
"05-300-10","07/23/10","GRUNDY NATIONAL BANK","~       ",0,722.99
"05-100-04","07/23/10","GRUNDY NATIONAL BANK","~       ",722.99,0
"05-400-02","08/02/10","BEVERLY S. TILLER- C","070210  ",16,0
"05-200-04","08/02/10","BEVERLY S. TILLER- C","070210  ",0,16
"05-100-01","08/02/10","BEVERLY S. TILLER- C"," 3343   ",0,16
"05-200-04","08/02/10","BEVERLY S. TILLER- C"," 3343   ",16,0
"05-300-04","08/04/10","A+RENTALS           ","16440   ",0,3511.67
"05-100-01","08/04/10","A+RENTALS           ","16440   ",3511.67,0
"05-300-04","08/04/10","CASA                ","3334    ",0,702.67
"05-100-01","08/04/10","CASA                ","3334    ",702.67,0
"05-300-04","08/04/10","DR. L.E. LAWRENCE   ","9702    ",0,688.92
"05-100-01","08/04/10","DR. L.E. LAWRENCE   ","9702    ",688.92,0
"05-300-04","08/04/10","ROTECH (LOVE JOY)   ","3225086 ",0,2101.75
"05-100-01","08/04/10","ROTECH (LOVE JOY)   ","3225086 ",2101.75,0
"05-300-04","08/04/10","ROTECH (LOVE JOY)   ","3225086 ",0,1297.67
"05-100-01","08/04/10","ROTECH (LOVE JOY)   ","3225086 ",1297.67,0
"05-300-04","08/04/10","ELAINE'S BOUTIQUE   ","1638    ",0,1480
"05-100-01","08/04/10","ELAINE'S BOUTIQUE   ","1638    ",1480,0
"05-300-04","08/04/10","PEKING              ","4333    ",0,3675
"05-100-01","08/04/10","PEKING              ","4333    ",3675,0
"05-300-04","08/04/10","LINCARE             ","14510525",0,702.67
"05-100-01","08/04/10","LINCARE             ","14510525",702.67,0
"05-300-04","08/04/10","FAMILY DOLLAR       ","3386907 ",0,5050
"05-100-01","08/04/10","FAMILY DOLLAR       ","3386907 ",5050,0
"05-300-04","08/04/10","ABC STORE           ","45541246",0,1032.5
"05-100-01","08/04/10","ABC STORE           ","45541246",1032.5,0
"05-300-04","08/04/10","PLAZA PHARMACY      ","7745    ",0,1488.67
"05-100-01","08/04/10","PLAZA PHARMACY      ","7745    ",1488.67,0
"05-300-10","07/30/10","GRUNDY NATIONAL BANK","~       ",0,40.11
"05-100-01","07/30/10","GRUNDY NATIONAL BANK","~       ",40.11,0
"05-500-08","08/09/10","CINTAS CORP. # 532  ","53271481",142.7,0
"05-200-04","08/09/10","CINTAS CORP. # 532  ","53271481",0,142.7
"05-500-08","08/09/10","SOULEYRETTE, HUBERT ","89755   ",750,0
"05-200-04","08/09/10","SOULEYRETTE, HUBERT ","89755   ",0,750
"05-500-07","08/09/10","BUCHANAN COUNTY P. S","109918  ",614,0
"05-200-04","08/09/10","BUCHANAN COUNTY P. S","109918  ",0,614
"05-300-03","08/09/10","TOWN OF GRUNDY      ","080910  ",8223.75,0
"05-200-04","08/09/10","TOWN OF GRUNDY      ","080910  ",0,8223.75
"05-500-05","08/09/10","J.A. STREET & ASSOCI","14423   ",1009.8,0
"05-200-04","08/09/10","J.A. STREET & ASSOCI","14423   ",0,1009.8
"05-300-03","08/09/10","TOWN OF GRUNDY      ","7302010 ",3472.75,0
"05-200-04","08/09/10","TOWN OF GRUNDY      ","7302010 ",0,3472.75
"05-400-04","08/09/10","OWENS CPA & ASSOCIAT","89682   ",3465,0
"05-200-04","08/09/10","OWENS CPA & ASSOCIAT","89682   ",0,3465
"05-500-08","08/09/10","G.M. REFRIGERATION I","8436/843",273,0
"05-200-04","08/09/10","G.M. REFRIGERATION I","8436/843",0,273
"05-520-07","08/09/10","APPALACHIA DESIGN SE","9619    ",4030,0
"05-200-04","08/09/10","APPALACHIA DESIGN SE","9619    ",0,4030
"05-500-08","08/09/10","G.M. REFRIGERATION I","8371    ",173,0
"05-200-04","08/09/10","G.M. REFRIGERATION I","8371    ",0,173
"05-500-08","08/09/10","Ratliff's Farm & Hom","127362  ",1.29,0
"05-200-04","08/09/10","Ratliff's Farm & Hom","127362  ",0,1.29
"05-520-07","08/09/10","GERALD P. COLEMAN, E","7212010 ",250,0
"05-200-04","08/09/10","GERALD P. COLEMAN, E","7212010 ",0,250
"05-100-01","08/09/10","APPALACHIA DESIGN SE"," 3344   ",0,4030
"05-200-04","08/09/10","APPALACHIA DESIGN SE"," 3344   ",4030,0
"05-100-01","08/09/10","BUCHANAN COUNTY P. S"," 3345   ",0,614
"05-200-04","08/09/10","BUCHANAN COUNTY P. S"," 3345   ",614,0
"05-100-01","08/09/10","CINTAS CORP. # 532  "," 3346   ",0,142.7
"05-200-04","08/09/10","CINTAS CORP. # 532  "," 3346   ",142.7,0
"05-100-01","08/09/10","G.M. REFRIGERATION I"," 3347   ",0,446
"05-200-04","08/09/10","G.M. REFRIGERATION I"," 3347   ",446,0
"05-100-01","08/09/10","GERALD P. COLEMAN, E"," 3348   ",0,250
"05-200-04","08/09/10","GERALD P. COLEMAN, E"," 3348   ",250,0
"05-100-01","08/09/10","J.A. STREET & ASSOCI"," 3349   ",0,1009.8
"05-200-04","08/09/10","J.A. STREET & ASSOCI"," 3349   ",1009.8,0
"05-100-01","08/09/10","OWENS CPA & ASSOCIAT"," 3350   ",0,3465
"05-200-04","08/09/10","OWENS CPA & ASSOCIAT"," 3350   ",3465,0
"05-100-01","08/09/10","Ratliff's Farm & Hom"," 3351   ",0,1.29
"05-200-04","08/09/10","Ratliff's Farm & Hom"," 3351   ",1.29,0
"05-100-01","08/09/10","SOULEYRETTE, HUBERT "," 3352   ",0,750
"05-200-04","08/09/10","SOULEYRETTE, HUBERT "," 3352   ",750,0
"05-100-01","08/09/10","TOWN OF GRUNDY      "," 3353   ",0,11696.5
"05-200-04","08/09/10","TOWN OF GRUNDY      "," 3353   ",11696.5,0
"05-300-04","08/09/10","APPALACHIAN AGENCY  ","55504   ",0,614.83
"05-100-01","08/09/10","APPALACHIAN AGENCY  ","55504   ",614.83,0
"05-300-04","08/09/10","SHERRY'S BEAUTY     ","3755    ",0,233.33
"05-100-01","08/09/10","SHERRY'S BEAUTY     ","3755    ",233.33,0
"05-520-50","08/09/10","TIM POTTER          ","80910   ",14.6,0
"05-200-04","08/09/10","TIM POTTER          ","80910   ",0,14.6
"05-520-50","08/09/10","PLAZA PHARMACY      ","080910  ",413.5,0
"05-200-04","08/09/10","PLAZA PHARMACY      ","080910  ",0,413.5
"05-100-01","08/09/10","PLAZA PHARMACY      "," 3354   ",0,413.5
"05-200-04","08/09/10","PLAZA PHARMACY      "," 3354   ",413.5,0
"05-100-01","08/09/10","TIM POTTER          "," 3355   ",0,14.6
"05-200-04","08/09/10","TIM POTTER          "," 3355   ",14.6,0
"05-300-04","08/10/10","VA MT MICRO         ","15804   ",0,702.67
"05-100-01","08/10/10","VA MT MICRO         ","15804   ",702.67,0
"05-300-04","08/11/10","BUCHANAN THERAPY    ","12595   ",0,1493.92
"05-100-01","08/11/10","BUCHANAN THERAPY    ","12595   ",1493.92,0
"05-300-04","08/11/10","TOWN OF GRUNDY      ","5844    ",0,391.2
"05-100-01","08/11/10","TOWN OF GRUNDY      ","5844    ",391.2,0
"05-300-04","08/12/10","FAMILY CARE CENTER  ","4420    ",0,1240.62
